obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;model_id;model_name;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_receive order confirmation_Object_set payment block;Activity;;Alternate Precedence[receive order confirmation, set payment block] | | |;Binary;set();set();Alternate Precedence;receive order confirmation;set payment block;['39c104e6796b4728b7dac7b1966294fc'];['To-Be Process Assignment '];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'receive order confirmation': 0.501022458076477, 'set payment block': 0.6330088376998901};0.5670156478881836;f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_receive order confirmation_Object_set payment block;0.5138855116707938;['Receive Order Confirmation'];['Set Payment Block'];f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_receive order confirmation_Object_set payment block;61
f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_receive order confirmation_Object_change payment term;Activity;;Alternate Precedence[receive order confirmation, change payment term] | | |;Binary;set();set();Alternate Precedence;receive order confirmation;change payment term;['39c104e6796b4728b7dac7b1966294fc'];['To-Be Process Assignment '];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'receive order confirmation': 0.501022458076477, 'change payment term': 0.6087480783462524};0.5548852682113647;f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_receive order confirmation_Object_change payment term;0.5029681699616568;['Receive Order Confirmation'];['Change payment term'];f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_receive order confirmation_Object_change payment term;1
f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_release purchase order_Object_set payment block;Activity;;Alternate Precedence[release purchase order, set payment block] | | |;Binary;set();set();Alternate Precedence;release purchase order;set payment block;['39c104e6796b4728b7dac7b1966294fc'];['To-Be Process Assignment '];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'release purchase order': 0.5776238441467285, 'set payment block': 0.6330088376998901};0.6053163409233093;f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_release purchase order_Object_set payment block;0.548356135402407;['Release Purchase Order'];['Set Payment Block'];f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_release purchase order_Object_set payment block;61
b9c835ef-aa72-4181-ad68-22688d04535a_Object_change approval for purchase order_Object_cancel invoice receipt;Activity;;Alternate Succession[change approval for purchase order, cancel invoice receipt] | | |;Binary;set();set();Alternate Succession;change approval for purchase order;cancel invoice receipt;['3adc1fe51a3245f8a5304a87f723cf6a', '0a7b596f54d54371aac421f31ab2e77e', '025328e032e34432a232f5a9570a7dfb', '50db55cf31d345bf86c69bf69d92f354', 'ca87a31421a04b84ae42b73cea33442a', 'dd79b1df3d334484a34db87d2a36655e', 'fc52b9cfee1146b2a00b8c5de83c5709', 'ed7a594118054a5089c109320d23354e'];['Figure 3.1_Jane Doe', 'Figure 3.1_AB', 'Figure 3.1_WP', 'Fig 3.1', 'Figure 3.1_Omnia Jane Doe', 'LAB 1', 'W3.G3.P2(ORDER2CASH) (V1)', 'W3G4.P2(ORDERTOCASH)'];8;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'change approval for purchase order': 0.5456568598747253, 'cancel invoice receipt': 0.5193266272544861};0.5324917435646057;b9c835ef-aa72-4181-ad68-22688d04535a_Object_change approval for purchase order_Object_cancel invoice receipt;0.5078139977795737;['Change Approval for Purchase Order'];['Cancel Invoice Receipt'];b9c835ef-aa72-4181-ad68-22688d04535a_Object_change approval for purchase order_Object_cancel invoice receipt;604
57db2594-6fb3-48f3-bc57-18f841342932_Object_change final invoice indicator_Object_receive order confirmation;Activity;;Responded Existence[change final invoice indicator, receive order confirmation] | | |;Binary;set();set();Responded Existence;change final invoice indicator;receive order confirmation;['3aea7c3e07c9498384748b44c0b4a74f', 'c35c951aad4942cfb45b608f1aebd7bc', '50675a99380a492b94bcb007a858146e'];['4-ch3_PurchaseOrder2', 'Tut 3 - Step 2', 'Figure 3.6_WillShulstad'];4;if {1} occurs in the process instance, then {2} occurs as well;{'change final invoice indicator': 0.5849606394767761, 'receive order confirmation': 0.5344668030738831};0.5597137212753296;57db2594-6fb3-48f3-bc57-18f841342932_Object_change final invoice indicator_Object_receive order confirmation;0.5180280634335109;['Change Final Invoice Indicator'];['Receive Order Confirmation'];57db2594-6fb3-48f3-bc57-18f841342932_Object_change final invoice indicator_Object_receive order confirmation;3
4914e730-fe75-43ea-ad6a-85be3da2a1bb_Object_receive order confirmation_Object_srm ordered;Activity;;Responded Existence[receive order confirmation, srm ordered] | | |;Binary;set();set();Responded Existence;receive order confirmation;srm ordered;['3b1c919e889d4456b3bb89d0207c14d1'];['EAi process'];1;if {1} occurs in the process instance, then {2} occurs as well;{'receive order confirmation': 0.6308199167251587, 'srm ordered': 0.5036011338233948};0.5672105252742767;4914e730-fe75-43ea-ad6a-85be3da2a1bb_Object_receive order confirmation_Object_srm ordered;0.5140609013182776;['Receive Order Confirmation'];['SRM: Ordered'];4914e730-fe75-43ea-ad6a-85be3da2a1bb_Object_receive order confirmation_Object_srm ordered;51
4914e730-fe75-43ea-ad6a-85be3da2a1bb_Object_release purchase order_Object_srm ordered;Activity;;Responded Existence[release purchase order, srm ordered] | | |;Binary;set();set();Responded Existence;release purchase order;srm ordered;['3b1c919e889d4456b3bb89d0207c14d1'];['EAi process'];1;if {1} occurs in the process instance, then {2} occurs as well;{'release purchase order': 0.6578658819198608, 'srm ordered': 0.5036011338233948};0.5807335078716278;4914e730-fe75-43ea-ad6a-85be3da2a1bb_Object_release purchase order_Object_srm ordered;0.5262315856558936;['Release Purchase Order'];['SRM: Ordered'];4914e730-fe75-43ea-ad6a-85be3da2a1bb_Object_release purchase order_Object_srm ordered;1
fcf7bc97-5976-4ca0-ab16-dee5eeb669c8_Object_receive order confirmation_Object_srm ordered;Activity;;Alternate Precedence[receive order confirmation, srm ordered] | | |;Binary;set();{'3b1c919e889d4456b3bb89d0207c14d1sid-E5C00D7B-9581-4C80-BCDF-2FEFEF198D8E'};Alternate Precedence;receive order confirmation;srm ordered;['3b1c919e889d4456b3bb89d0207c14d1'];['EAi process'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'receive order confirmation': 0.6308199167251587, 'srm ordered': 0.5036011338233948};0.5672105252742767;fcf7bc97-5976-4ca0-ab16-dee5eeb669c8_Object_receive order confirmation_Object_srm ordered;0.5140609013182776;['Receive Order Confirmation'];['SRM: Ordered'];fcf7bc97-5976-4ca0-ab16-dee5eeb669c8_Object_receive order confirmation_Object_srm ordered;611
fa379392-f12e-46e5-b5a2-c8252175012d_Object_cancel subsequent invoice_Object_cancel invoice receipt;Activity;;Alternate Precedence[cancel subsequent invoice, cancel invoice receipt] | | |;Binary;set();set();Alternate Precedence;cancel subsequent invoice;cancel invoice receipt;['c183c2058ab7479bbf30e1c578ab09ef'];['2.0'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'cancel subsequent invoice': 0.5104885697364807, 'cancel invoice receipt': 0.5993945002555847};0.5549415349960327;fa379392-f12e-46e5-b5a2-c8252175012d_Object_cancel subsequent invoice_Object_cancel invoice receipt;0.5030188100678581;['Cancel Subsequent Invoice'];['Cancel Invoice Receipt'];fa379392-f12e-46e5-b5a2-c8252175012d_Object_cancel subsequent invoice_Object_cancel invoice receipt;564
fa379392-f12e-46e5-b5a2-c8252175012d_Object_cancel subsequent invoice_Object_record subsequent invoice;Activity;;Alternate Precedence[cancel subsequent invoice, record subsequent invoice] | | |;Binary;set();set();Alternate Precedence;cancel subsequent invoice;record subsequent invoice;['c183c2058ab7479bbf30e1c578ab09ef'];['2.0'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'cancel subsequent invoice': 0.5104885697364807, 'record subsequent invoice': 0.6285448670387268};0.5695167183876038;fa379392-f12e-46e5-b5a2-c8252175012d_Object_cancel subsequent invoice_Object_record subsequent invoice;0.5161364751202719;['Cancel Subsequent Invoice'];['Record Subsequent Invoice'];fa379392-f12e-46e5-b5a2-c8252175012d_Object_cancel subsequent invoice_Object_record subsequent invoice;4
e523e5ac-834a-487c-b74d-0929a97e3505_Object_change approval for purchase order_Object_cancel subsequent invoice;Activity;;Alternate Response[change approval for purchase order, cancel subsequent invoice] | | |;Binary;set();set();Alternate Response;change approval for purchase order;cancel subsequent invoice;['c19c1e7624d0496e88a87f6401b44333'];['Loan (black)'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'change approval for purchase order': 0.6077659726142883, 'cancel subsequent invoice': 0.5104885697364807};0.5591272711753845;e523e5ac-834a-487c-b74d-0929a97e3505_Object_change approval for purchase order_Object_cancel subsequent invoice;0.5067859726292746;['Change Approval for Purchase Order'];['Cancel Subsequent Invoice'];e523e5ac-834a-487c-b74d-0929a97e3505_Object_change approval for purchase order_Object_cancel subsequent invoice;40
81a836cb-48a3-45f8-9079-608fd1b548a3_Object_change final invoice indicator_Object_remove payment block;Activity;;Precedence[change final invoice indicator, remove payment block] | | |;Binary;set();set();Precedence;change final invoice indicator;remove payment block;['c2ea7a4f5b924092b48e436936aa068e'];['BPM exercise 8'];1;{2} occurs only if it is preceded by {1};{'change final invoice indicator': 0.5863239169120789, 'remove payment block': 0.5313928723335266};0.5588583946228027;81a836cb-48a3-45f8-9079-608fd1b548a3_Object_change final invoice indicator_Object_remove payment block;0.5065439837319511;['Change Final Invoice Indicator'];['Remove Payment Block'];81a836cb-48a3-45f8-9079-608fd1b548a3_Object_change final invoice indicator_Object_remove payment block;2230
c473b80b-48e0-4908-a44e-8b616c7ded04_Object_cancel subsequent invoice_Object_vendor creates invoice;Activity;;Exclusive Choice[cancel subsequent invoice, vendor creates invoice] | | |;Binary;set();set();Exclusive Choice;cancel subsequent invoice;vendor creates invoice;['00793c908aa2448fbdfa3d5c96d64eff'];['W4.P3SDLC V4 '];1;{1} or {2} occurs, but never both in the same process instance;{'cancel subsequent invoice': 0.507262110710144, 'vendor creates invoice': 0.6359731554985046};0.5716176331043243;c473b80b-48e0-4908-a44e-8b616c7ded04_Object_cancel subsequent invoice_Object_vendor creates invoice;0.5180272983653205;['Cancel Subsequent Invoice'];['Vendor creates invoice'];c473b80b-48e0-4908-a44e-8b616c7ded04_Object_cancel subsequent invoice_Object_vendor creates invoice;4480
8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_change final invoice indicator_Object_vendor creates invoice;Activity;;Exclusive Choice[change final invoice indicator, vendor creates invoice] | | |;Binary;set();set();Exclusive Choice;change final invoice indicator;vendor creates invoice;['00793c908aa2448fbdfa3d5c96d64eff'];['W4.P3SDLC V4 '];1;{1} or {2} occurs, but never both in the same process instance;{'change final invoice indicator': 0.557901918888092, 'vendor creates invoice': 0.5497749447822571};0.5538384318351746;8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_change final invoice indicator_Object_vendor creates invoice;0.5020260172230857;['Change Final Invoice Indicator'];['Vendor creates invoice'];8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_change final invoice indicator_Object_vendor creates invoice;4463
8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_change final invoice indicator_Object_record invoice receipt;Activity;;Exclusive Choice[change final invoice indicator, record invoice receipt] | | |;Binary;set();set();Exclusive Choice;change final invoice indicator;record invoice receipt;['00793c908aa2448fbdfa3d5c96d64eff'];['W4.P3SDLC V4 '];1;{1} or {2} occurs, but never both in the same process instance;{'change final invoice indicator': 0.557901918888092, 'record invoice receipt': 0.5452953577041626};0.5515986382961273;8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_change final invoice indicator_Object_record invoice receipt;0.5000102030379432;['Change Final Invoice Indicator'];['Record Invoice Receipt'];8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_change final invoice indicator_Object_record invoice receipt;4057
8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_change final invoice indicator_Object_clear invoice;Activity;;Exclusive Choice[change final invoice indicator, clear invoice] | | |;Binary;set();set();Exclusive Choice;change final invoice indicator;clear invoice;['00793c908aa2448fbdfa3d5c96d64eff'];['W4.P3SDLC V4 '];1;{1} or {2} occurs, but never both in the same process instance;{'change final invoice indicator': 0.557901918888092, 'clear invoice': 0.5773904919624329};0.5676462054252625;8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_change final invoice indicator_Object_clear invoice;0.5144530134541648;['Change Final Invoice Indicator'];['Clear Invoice'];8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_change final invoice indicator_Object_clear invoice;5509
8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_set payment block_Object_clear invoice;Activity;;Exclusive Choice[set payment block, clear invoice] | | |;Binary;set();set();Exclusive Choice;set payment block;clear invoice;['00793c908aa2448fbdfa3d5c96d64eff'];['W4.P3SDLC V4 '];1;{1} or {2} occurs, but never both in the same process instance;{'set payment block': 0.5275912880897522, 'clear invoice': 0.5773904919624329};0.5524908900260925;8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_set payment block_Object_clear invoice;0.5008132295949119;['Set Payment Block'];['Clear Invoice'];8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_set payment block_Object_clear invoice;5451
8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_record subsequent invoice_Object_record invoice receipt;Activity;;Exclusive Choice[record subsequent invoice, record invoice receipt] | | |;Binary;set();set();Exclusive Choice;record subsequent invoice;record invoice receipt;['00793c908aa2448fbdfa3d5c96d64eff'];['W4.P3SDLC V4 '];1;{1} or {2} occurs, but never both in the same process instance;{'record subsequent invoice': 0.6399111747741699, 'record invoice receipt': 0.5452953577041626};0.5926032662391663;8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_record subsequent invoice_Object_record invoice receipt;0.5369143681866783;['Record Subsequent Invoice'];['Record Invoice Receipt'];8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_record subsequent invoice_Object_record invoice receipt;4058
8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_record subsequent invoice_Object_clear invoice;Activity;;Exclusive Choice[record subsequent invoice, clear invoice] | | |;Binary;set();set();Exclusive Choice;record subsequent invoice;clear invoice;['00793c908aa2448fbdfa3d5c96d64eff'];['W4.P3SDLC V4 '];1;{1} or {2} occurs, but never both in the same process instance;{'record subsequent invoice': 0.6399111747741699, 'clear invoice': 0.5773904919624329};0.6086508333683014;8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_record subsequent invoice_Object_clear invoice;0.5513571786028998;['Record Subsequent Invoice'];['Clear Invoice'];8d8ecebe-e67e-4e55-95bc-e70f418514ab_Object_record subsequent invoice_Object_clear invoice;5510
5a580755-4a11-4f79-8bce-da9aa22327f2_Object_vendor creates invoice_Object_remove payment block;Activity;;Alternate Response[vendor creates invoice, remove payment block] | | |;Binary;set();set();Alternate Response;vendor creates invoice;remove payment block;['008485e2a3734ff48fcfec8ecfa8d2aa'];['Esample1'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'vendor creates invoice': 0.6679377555847168, 'remove payment block': 0.5150308609008789};0.5914843082427979;5a580755-4a11-4f79-8bce-da9aa22327f2_Object_vendor creates invoice_Object_remove payment block;0.5359073059899466;['Vendor creates invoice'];['Remove Payment Block'];5a580755-4a11-4f79-8bce-da9aa22327f2_Object_vendor creates invoice_Object_remove payment block;8827
5a580755-4a11-4f79-8bce-da9aa22327f2_Object_vendor creates invoice_Object_set payment block;Activity;;Alternate Response[vendor creates invoice, set payment block] | | |;Binary;set();set();Alternate Response;vendor creates invoice;set payment block;['008485e2a3734ff48fcfec8ecfa8d2aa'];['Esample1'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'vendor creates invoice': 0.6679377555847168, 'set payment block': 0.5934920907020569};0.6307149231433868;5a580755-4a11-4f79-8bce-da9aa22327f2_Object_vendor creates invoice_Object_set payment block;0.5712148594004768;['Vendor creates invoice'];['Set Payment Block'];5a580755-4a11-4f79-8bce-da9aa22327f2_Object_vendor creates invoice_Object_set payment block;10663
5a580755-4a11-4f79-8bce-da9aa22327f2_Object_vendor creates invoice_Object_change payment term;Activity;;Alternate Response[vendor creates invoice, change payment term] | | |;Binary;set();set();Alternate Response;vendor creates invoice;change payment term;['008485e2a3734ff48fcfec8ecfa8d2aa'];['Esample1'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'vendor creates invoice': 0.6679377555847168, 'change payment term': 0.5725676417350769};0.6202526986598969;5a580755-4a11-4f79-8bce-da9aa22327f2_Object_vendor creates invoice_Object_change payment term;0.5617988573653357;['Vendor creates invoice'];['Change payment term'];5a580755-4a11-4f79-8bce-da9aa22327f2_Object_vendor creates invoice_Object_change payment term;10722
5a580755-4a11-4f79-8bce-da9aa22327f2_Object_record invoice receipt_Object_remove payment block;Activity;;Alternate Response[record invoice receipt, remove payment block] | | |;Binary;set();set();Alternate Response;record invoice receipt;remove payment block;['008485e2a3734ff48fcfec8ecfa8d2aa'];['Esample1'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'record invoice receipt': 0.6604573130607605, 'remove payment block': 0.5150308609008789};0.5877440869808197;5a580755-4a11-4f79-8bce-da9aa22327f2_Object_record invoice receipt_Object_remove payment block;0.5325411068541663;['Record Invoice Receipt'];['Remove Payment Block'];5a580755-4a11-4f79-8bce-da9aa22327f2_Object_record invoice receipt_Object_remove payment block;9370
