obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
59c8e624-470c-4c1f-bcc8-34dec7b5bfaa_Object_subsequent invoice_Object_purchase requisition item;Multi-object;;Alternate Precedence[subsequent invoice, purchase requisition item] | | |;Binary;set();set();Alternate Precedence;subsequent invoice;purchase requisition item;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'subsequent invoice': 0.8053135275840759, 'purchase requisition item': 0.5288556814193726};0.6670846045017242;59c8e624-470c-4c1f-bcc8-34dec7b5bfaa_Object_subsequent invoice_Object_purchase requisition item;0.6036019505031647;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Create Purchase Requisition Item'];59c8e624-470c-4c1f-bcc8-34dec7b5bfaa_Object_subsequent invoice_Object_purchase requisition item;1220
3b4b2ca9-c55a-4b0e-b74f-a4bd97d4b4bf_Object_change quantity_Object_reactivate purchase order item;Activity;;Alternate Precedence[change quantity, reactivate purchase order item] | | |;Binary;set();{'b3b994ae9170453fb4d02e751c68c463sid-E59E18CD-23AA-49EB-9EB8-727C67BC230E'};Alternate Precedence;change quantity;reactivate purchase order item;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'change quantity': 0.6850709319114685, 'reactivate purchase order item': 0.6484752893447876};0.666773110628128;3b4b2ca9-c55a-4b0e-b74f-a4bd97d4b4bf_Object_change quantity_Object_reactivate purchase order item;0.6036672281367438;['Change Quantity'];['Reactivate Purchase Order Item'];3b4b2ca9-c55a-4b0e-b74f-a4bd97d4b4bf_Object_change quantity_Object_reactivate purchase order item;8
b57d581d-0659-4a67-9ab3-90a4dac82482_Object_vendor creates invoice_Object_change approval for purchase order;Activity;;Responded Existence[vendor creates invoice, change approval for purchase order] | | |;Binary;set();set();Responded Existence;vendor creates invoice;change approval for purchase order;1;if {1} occurs in the process instance, then {2} occurs as well;{'vendor creates invoice': 0.8307566046714783, 'change approval for purchase order': 0.5034907460212708};0.6671236753463745;b57d581d-0659-4a67-9ab3-90a4dac82482_Object_vendor creates invoice_Object_change approval for purchase order;0.6039827363831657;['Vendor creates invoice'];['Change Approval for Purchase Order'];b57d581d-0659-4a67-9ab3-90a4dac82482_Object_vendor creates invoice_Object_change approval for purchase order;10690
7abf1b28-26dc-474d-bdb1-d8987cbe44d1_Object_goods receipt_Object_payment term;Multi-object;;Alternate Precedence[goods receipt, payment term] | | |;Binary;set();set();Alternate Precedence;goods receipt;payment term;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'goods receipt': 0.6772770285606384, 'payment term': 0.6578913331031799};0.6675841808319092;7abf1b28-26dc-474d-bdb1-d8987cbe44d1_Object_goods receipt_Object_payment term;0.6040515692003311;['Record Goods Receipt', 'Cancel Goods Receipt'];['Change payment term'];7abf1b28-26dc-474d-bdb1-d8987cbe44d1_Object_goods receipt_Object_payment term;1
09553dde-9f77-4d9a-a2af-549977f6bccb_Object_create purchase order item_Object_cancel goods receipt;Activity;;Alternate Precedence[create purchase order item, cancel goods receipt] | | |;Binary;set();set();Alternate Precedence;create purchase order item;cancel goods receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'create purchase order item': 0.6915375590324402, 'cancel goods receipt': 0.6433232426643372};0.6674304008483887;09553dde-9f77-4d9a-a2af-549977f6bccb_Object_create purchase order item_Object_cancel goods receipt;0.6042587893349783;['Create Purchase Order Item'];['Cancel Goods Receipt'];09553dde-9f77-4d9a-a2af-549977f6bccb_Object_create purchase order item_Object_cancel goods receipt;177
4ef26705-5e30-42e2-988a-97c6181bc3da_Object_subsequent invoice_Object_purchase requisition item;Multi-object;;Responded Existence[subsequent invoice, purchase requisition item] | | |;Binary;set();set();Responded Existence;subsequent invoice;purchase requisition item;1;if {1} occurs in the process instance, then {2} occurs as well;{'subsequent invoice': 0.8053135275840759, 'purchase requisition item': 0.5305654406547546};0.6679394841194153;4ef26705-5e30-42e2-988a-97c6181bc3da_Object_subsequent invoice_Object_purchase requisition item;0.6043713421590866;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Create Purchase Requisition Item'];4ef26705-5e30-42e2-988a-97c6181bc3da_Object_subsequent invoice_Object_purchase requisition item;23
d46119e6-7402-4fdf-ab5c-a47c00001f61_Object_cancel goods receipt_Object_clear invoice;Activity;;Alternate Precedence[cancel goods receipt, clear invoice] | | |;Binary;set();set();Alternate Precedence;cancel goods receipt;clear invoice;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'cancel goods receipt': 0.6433232426643372, 'clear invoice': 0.6920446157455444};0.6676839292049408;d46119e6-7402-4fdf-ab5c-a47c00001f61_Object_cancel goods receipt_Object_clear invoice;0.6044869648558753;['Cancel Goods Receipt'];['Clear Invoice'];d46119e6-7402-4fdf-ab5c-a47c00001f61_Object_cancel goods receipt_Object_clear invoice;9554
63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_subsequent invoice_Object_invoice;Multi-object;;Alternate Precedence[subsequent invoice, invoice] | | |;Binary;set();set();Alternate Precedence;subsequent invoice;invoice;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'subsequent invoice': 0.8053135275840759, 'invoice': 0.5330387353897095};0.6691761314868927;63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_subsequent invoice_Object_invoice;0.6054843247898163;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Vendor creates invoice', 'Clear Invoice'];63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_subsequent invoice_Object_invoice;10723
b5fb86a7-6b91-4599-a125-919c55435ee2_Object_invoice_Object_subsequent invoice;Multi-object;;Responded Existence[invoice, subsequent invoice] | | |;Binary;set();set();Responded Existence;invoice;subsequent invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice': 0.5330387353897095, 'subsequent invoice': 0.8053135275840759};0.6691761314868927;b5fb86a7-6b91-4599-a125-919c55435ee2_Object_invoice_Object_subsequent invoice;0.6054843247898163;['Vendor creates invoice', 'Clear Invoice'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];b5fb86a7-6b91-4599-a125-919c55435ee2_Object_invoice_Object_subsequent invoice;10700
63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_final invoice indicator_Object_payment block;Multi-object;;Alternate Precedence[final invoice indicator, payment block] | | |;Binary;set();set();Alternate Precedence;final invoice indicator;payment block;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'final invoice indicator': 0.6769558787345886, 'payment block': 0.6619399785995483};0.6694479286670685;63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_final invoice indicator_Object_payment block;0.6057289422519745;['Change Final Invoice Indicator'];['Remove Payment Block', 'Set Payment Block'];63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_final invoice indicator_Object_payment block;2288
b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment block_Object_final invoice indicator;Multi-object;;Responded Existence[payment block, final invoice indicator] | | |;Binary;set();set();Responded Existence;payment block;final invoice indicator;1;if {1} occurs in the process instance, then {2} occurs as well;{'payment block': 0.6619399785995483, 'final invoice indicator': 0.6769558787345886};0.6694479286670685;b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment block_Object_final invoice indicator;0.6057289422519745;['Remove Payment Block', 'Set Payment Block'];['Change Final Invoice Indicator'];b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment block_Object_final invoice indicator;2288
3b4b2ca9-c55a-4b0e-b74f-a4bd97d4b4bf_Object_change quantity_Object_receive order confirmation;Activity;;Alternate Precedence[change quantity, receive order confirmation] | | |;Binary;set();{'b3b994ae9170453fb4d02e751c68c463sid-E59E18CD-23AA-49EB-9EB8-727C67BC230E'};Alternate Precedence;change quantity;receive order confirmation;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'change quantity': 0.6850709319114685, 'receive order confirmation': 0.6534835696220398};0.6692772507667542;3b4b2ca9-c55a-4b0e-b74f-a4bd97d4b4bf_Object_change quantity_Object_receive order confirmation;0.6059209542615073;['Change Quantity'];['Receive Order Confirmation'];3b4b2ca9-c55a-4b0e-b74f-a4bd97d4b4bf_Object_change quantity_Object_receive order confirmation;51
0c756556-ad49-4ef9-b2d4-ea4682275dd1_Object_delete purchase order item_Object_cancel goods receipt;Activity;;Alternate Precedence[delete purchase order item, cancel goods receipt] | | |;Binary;set();set();Alternate Precedence;delete purchase order item;cancel goods receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'delete purchase order item': 0.6955131888389587, 'cancel goods receipt': 0.6433232426643372};0.669418215751648;0c756556-ad49-4ef9-b2d4-ea4682275dd1_Object_delete purchase order item_Object_cancel goods receipt;0.6060478227479117;['Delete Purchase Order Item'];['Cancel Goods Receipt'];0c756556-ad49-4ef9-b2d4-ea4682275dd1_Object_delete purchase order item_Object_cancel goods receipt;440
bbf7640a-c4cb-40e1-843f-9c28a8a97416_Object_change approval for purchase order_Object_create purchase order item;Activity;;Alternate Response[change approval for purchase order, create purchase order item] | | |;Binary;set();set();Alternate Response;change approval for purchase order;create purchase order item;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'change approval for purchase order': 0.6670167446136475, 'create purchase order item': 0.6724806427955627};0.6697486937046051;bbf7640a-c4cb-40e1-843f-9c28a8a97416_Object_change approval for purchase order_Object_create purchase order item;0.6063452529055732;['Change Approval for Purchase Order'];['Create Purchase Order Item'];bbf7640a-c4cb-40e1-843f-9c28a8a97416_Object_change approval for purchase order_Object_create purchase order item;40
9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_order confirmation_Object_subsequent invoice;Multi-object;;Alternate Precedence[order confirmation, subsequent invoice] | | |;Binary;set();set();Alternate Precedence;order confirmation;subsequent invoice;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'order confirmation': 0.6210375428199768, 'subsequent invoice': 0.7198562622070312};0.670446902513504;9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_order confirmation_Object_subsequent invoice;0.6066280187137665;['Receive Order Confirmation'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_order confirmation_Object_subsequent invoice;23
7d1db4b6-94a5-4ce8-91d2-c5880b54115a_Object_price_Object_subsequent invoice;Multi-object;;Responded Existence[price, subsequent invoice] | | |;Binary;set();set();Responded Existence;price;subsequent invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'price': 0.5368061661720276, 'subsequent invoice': 0.8053135275840759};0.6710598468780518;7d1db4b6-94a5-4ce8-91d2-c5880b54115a_Object_price_Object_subsequent invoice;0.6071796686418595;['Change Price'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];7d1db4b6-94a5-4ce8-91d2-c5880b54115a_Object_price_Object_subsequent invoice;1090
90fc9700-68de-4d16-90ad-4d9aa47e1640_Object_create purchase requisition item_Object_record subsequent invoice;Activity;;Precedence[create purchase requisition item, record subsequent invoice] | | |;Binary;set();set();Precedence;create purchase requisition item;record subsequent invoice;2;{2} occurs only if it is preceded by {1};{'create purchase requisition item': 0.6651511788368225, 'record subsequent invoice': 0.6683050394058228};0.6667281091213226;90fc9700-68de-4d16-90ad-4d9aa47e1640_Object_create purchase requisition item_Object_record subsequent invoice;0.6071981553520475;['Create Purchase Requisition Item'];['Record Subsequent Invoice'];90fc9700-68de-4d16-90ad-4d9aa47e1640_Object_create purchase requisition item_Object_record subsequent invoice;4
d868da82-8360-4e79-b85f-9ef9670f2ec6_Object_receive order confirmation_Object_change final invoice indicator;Activity;;Precedence[receive order confirmation, change final invoice indicator] | | |;Binary;set();set();Precedence;receive order confirmation;change final invoice indicator;2;{2} occurs only if it is preceded by {1};{'receive order confirmation': 0.7995553016662598, 'change final invoice indicator': 0.5349937677383423};0.667274534702301;d868da82-8360-4e79-b85f-9ef9670f2ec6_Object_receive order confirmation_Object_change final invoice indicator;0.607689938374928;['Receive Order Confirmation'];['Change Final Invoice Indicator'];d868da82-8360-4e79-b85f-9ef9670f2ec6_Object_receive order confirmation_Object_change final invoice indicator;3
71297f77-2d9b-45ff-ab62-a1e7eb5bb172_Object_subsequent invoice_Object_purchase order;Multi-object;;Responded Existence[subsequent invoice, purchase order] | | |;Binary;set();set();Responded Existence;subsequent invoice;purchase order;1;if {1} occurs in the process instance, then {2} occurs as well;{'subsequent invoice': 0.8053135275840759, 'purchase order': 0.5383486151695251};0.6718310713768005;71297f77-2d9b-45ff-ab62-a1e7eb5bb172_Object_subsequent invoice_Object_purchase order;0.6078737706907333;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Release Purchase Order'];71297f77-2d9b-45ff-ab62-a1e7eb5bb172_Object_subsequent invoice_Object_purchase order;23
85b1b33e-675d-4b59-935c-b1fbdbb8eacd_Object_create purchase requisition item_Object_create purchase order item;Activity;;Exclusive Choice[create purchase requisition item, create purchase order item] | | |;Binary;set();set();Exclusive Choice;create purchase requisition item;create purchase order item;1;{1} or {2} occurs, but never both in the same process instance;{'create purchase requisition item': 0.7870186567306519, 'create purchase order item': 0.5564144253730774};0.6717165410518646;85b1b33e-675d-4b59-935c-b1fbdbb8eacd_Object_create purchase requisition item_Object_create purchase order item;0.6081163155181067;['Create Purchase Requisition Item'];['Create Purchase Order Item'];85b1b33e-675d-4b59-935c-b1fbdbb8eacd_Object_create purchase requisition item_Object_create purchase order item;1220
e1a2451b-629f-4ce7-aeb1-fc41e5ceab7e_Object_purchase requisition item_Object_delivery indicator;Multi-object;;Precedence[purchase requisition item, delivery indicator] | | |;Binary;set();set();Precedence;purchase requisition item;delivery indicator;1;{2} occurs only if it is preceded by {1};{'purchase requisition item': 0.6363259553909302, 'delivery indicator': 0.7079432606697083};0.6721346080303192;e1a2451b-629f-4ce7-aeb1-fc41e5ceab7e_Object_purchase requisition item_Object_delivery indicator;0.6081469536789001;['Create Purchase Requisition Item'];['Change Delivery Indicator'];e1a2451b-629f-4ce7-aeb1-fc41e5ceab7e_Object_purchase requisition item_Object_delivery indicator;160
0ad82101-d4c3-40c3-9e2a-671f68b8fe5b_Object_payment term_Object_debit memo;Multi-object;;Responded Existence[payment term, debit memo] | | |;Binary;set();set();Responded Existence;payment term;debit memo;1;if {1} occurs in the process instance, then {2} occurs as well;{'payment term': 0.7769270539283752, 'debit memo': 0.5677207708358765};0.6723239123821259;0ad82101-d4c3-40c3-9e2a-671f68b8fe5b_Object_payment term_Object_debit memo;0.6083173275955261;['Change payment term'];['Vendor creates debit memo'];0ad82101-d4c3-40c3-9e2a-671f68b8fe5b_Object_payment term_Object_debit memo;1
88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_change payment term;Activity;;Responded Existence[receive order confirmation, change payment term] | | |;Binary;set();set();Responded Existence;receive order confirmation;change payment term;1;if {1} occurs in the process instance, then {2} occurs as well;{'receive order confirmation': 0.8088853359222412, 'change payment term': 0.5362990498542786};0.6725921928882599;88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_change payment term;0.6089044021708625;['Receive Order Confirmation'];['Change payment term'];88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_change payment term;51
d81916bf-93df-4f6a-bbf9-f32c8b10b75b_Object_change quantity_Object_receive order confirmation;Activity;;Alternate Succession[change quantity, receive order confirmation] | | |;Binary;set();set();Alternate Succession;change quantity;receive order confirmation;2;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'change quantity': 0.6850709319114685, 'receive order confirmation': 0.6534835696220398};0.6692772507667542;d81916bf-93df-4f6a-bbf9-f32c8b10b75b_Object_change quantity_Object_receive order confirmation;0.6094923828329358;['Change Quantity'];['Receive Order Confirmation'];d81916bf-93df-4f6a-bbf9-f32c8b10b75b_Object_change quantity_Object_receive order confirmation;908
fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_subsequent invoice;Multi-object;;Alternate Precedence[quantity, subsequent invoice] | | |;Binary;set();set();Alternate Precedence;quantity;subsequent invoice;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'quantity': 0.5423005819320679, 'subsequent invoice': 0.8053135275840759};0.6738070547580719;fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_subsequent invoice;0.6096521557338775;['Change Quantity'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_subsequent invoice;22
5f5d83a4-6318-46ea-98d7-f5244f699547_Object_delivery indicator_Object_invoice;Multi-object;;Alternate Succession[delivery indicator, invoice] | | |;Binary;set();set();Alternate Succession;delivery indicator;invoice;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'delivery indicator': 0.5560116767883301, 'invoice': 0.7916640639305115};0.6738378703594208;5f5d83a4-6318-46ea-98d7-f5244f699547_Object_delivery indicator_Object_invoice;0.6096798897750916;['Change Delivery Indicator'];['Vendor creates invoice', 'Clear Invoice'];5f5d83a4-6318-46ea-98d7-f5244f699547_Object_delivery indicator_Object_invoice;10737
4ae154f2-63f7-4096-983b-4da69fecd41d_Object_delivery indicator_Object_invoice;Multi-object;;Succession[delivery indicator, invoice] | | |;Binary;set();set();Succession;delivery indicator;invoice;1;{1} occurs if and only if it is followed by {2};{'delivery indicator': 0.5560116767883301, 'invoice': 0.7916640639305115};0.6738378703594208;4ae154f2-63f7-4096-983b-4da69fecd41d_Object_delivery indicator_Object_invoice;0.6096798897750916;['Change Delivery Indicator'];['Vendor creates invoice', 'Clear Invoice'];4ae154f2-63f7-4096-983b-4da69fecd41d_Object_delivery indicator_Object_invoice;10729
c5c5b868-b93f-4447-88ee-e597d1cc35dd_Object_purchase requisition item_Object_rejection indicator;Multi-object;;Alternate Precedence[purchase requisition item, rejection indicator] | | |;Binary;set();set();Alternate Precedence;purchase requisition item;rejection indicator;6;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'purchase requisition item': 0.6480916142463684, 'rejection indicator': 0.6643834114074707};0.6562375128269196;c5c5b868-b93f-4447-88ee-e597d1cc35dd_Object_purchase requisition item_Object_rejection indicator;0.6099686002539051;['Create Purchase Requisition Item'];['Change Rejection Indicator'];c5c5b868-b93f-4447-88ee-e597d1cc35dd_Object_purchase requisition item_Object_rejection indicator;1
3b4b2ca9-c55a-4b0e-b74f-a4bd97d4b4bf_Object_change quantity_Object_release purchase order;Activity;;Alternate Precedence[change quantity, release purchase order] | | |;Binary;set();{'b3b994ae9170453fb4d02e751c68c463sid-E59E18CD-23AA-49EB-9EB8-727C67BC230E'};Alternate Precedence;change quantity;release purchase order;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'change quantity': 0.6850709319114685, 'release purchase order': 0.6635055541992188};0.6742882430553436;3b4b2ca9-c55a-4b0e-b74f-a4bd97d4b4bf_Object_change quantity_Object_release purchase order;0.6104308473212379;['Change Quantity'];['Release Purchase Order'];3b4b2ca9-c55a-4b0e-b74f-a4bd97d4b4bf_Object_change quantity_Object_release purchase order;1
2b2c2bdc-5638-4a94-9134-ab29d9967fde_Object_payment block_Object_purchase order;Multi-object;;Responded Existence[payment block, purchase order] | | |;Binary;set();{'82e4ae645a044352a082a2bfd0cefa9fsid-F3DCB1DA-6209-4625-8687-1574F246771A', '82e4ae645a044352a082a2bfd0cefa9fsid-5C197F79-7493-4B81-9CA3-9A2FB64ECB12', '82e4ae645a044352a082a2bfd0cefa9fsid-92B9844E-E881-4CFD-8999-386F104CE272', '82e4ae645a044352a082a2bfd0cefa9fsid-28FCA8EE-B1C7-4FCF-9BB9-EBA0BF80127D'};Responded Existence;payment block;purchase order;1;if {1} occurs in the process instance, then {2} occurs as well;{'payment block': 0.6112464070320129, 'purchase order': 0.7390336990356445};0.6751400530338287;2b2c2bdc-5638-4a94-9134-ab29d9967fde_Object_payment block_Object_purchase order;0.6108518541820588;['Remove Payment Block', 'Set Payment Block'];['Release Purchase Order'];2b2c2bdc-5638-4a94-9134-ab29d9967fde_Object_payment block_Object_purchase order;2288
e40f8f93-fbfe-4099-9a7d-84f9b1463731_Object_order confirmation_Object_invoice receipt;Multi-object;;Succession[order confirmation, order confirmation specific demand] | | |;Binary;set();set();Succession;order confirmation;invoice receipt;1;{1} occurs if and only if it is followed by {2};{'order confirmation': 0.6315290331840515, 'invoice receipt': 0.7192960977554321};0.6754125654697418;e40f8f93-fbfe-4099-9a7d-84f9b1463731_Object_order confirmation_Object_invoice receipt;0.6110971153743805;['Receive Order Confirmation'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];e40f8f93-fbfe-4099-9a7d-84f9b1463731_Object_order confirmation_Object_invoice receipt;51
